id_turma;situacao_turma;nome_prof;codigo;nome_materia;total_aprovados;total;aprovacao
57662669;CONSOLIDADA;JOSINALDO MENEZES DA SILVA;ECT2101;PRÉ-CÁLCULO;44.0;544.0;0.08088235294117647
57662669;CONSOLIDADA;SIMONE BATISTA;ECT2101;PRÉ-CÁLCULO;44.0;544.0;0.08088235294117647
57662671;CONSOLIDADA;SALETE MARTINS ALVES;ECT2104;QUÍMICA GERAL;23.0;72.0;0.3194444444444444
57662671;CONSOLIDADA;ELISAMA VIEIRA DOS SANTOS;ECT2104;QUÍMICA GERAL;23.0;72.0;0.3194444444444444
57662671;CONSOLIDADA;TATIANA DE CAMPOS BICUDO;ECT2104;QUÍMICA GERAL;23.0;72.0;0.3194444444444444
57662671;CONSOLIDADA;FILIPE MARTEL DE MAGALHAES BORGES;ECT2104;QUÍMICA GERAL;23.0;72.0;0.3194444444444444
57662671;CONSOLIDADA;PATRICIA KAORI SOARES;ECT2104;QUÍMICA GERAL;23.0;72.0;0.3194444444444444
57663142;CONSOLIDADA;SALETE MARTINS ALVES;ECT2104;QUÍMICA GERAL;26.0;65.0;0.4
57663142;CONSOLIDADA;ELISAMA VIEIRA DOS SANTOS;ECT2104;QUÍMICA GERAL;26.0;65.0;0.4
57663142;CONSOLIDADA;TATIANA DE CAMPOS BICUDO;ECT2104;QUÍMICA GERAL;26.0;65.0;0.4
57663142;CONSOLIDADA;FILIPE MARTEL DE MAGALHAES BORGES;ECT2104;QUÍMICA GERAL;26.0;65.0;0.4
57663142;CONSOLIDADA;PATRICIA KAORI SOARES;ECT2104;QUÍMICA GERAL;26.0;65.0;0.4
57663146;CONSOLIDADA;SALETE MARTINS ALVES;ECT2104;QUÍMICA GERAL;24.0;126.0;0.19047619047619047
57663146;CONSOLIDADA;ELISAMA VIEIRA DOS SANTOS;ECT2104;QUÍMICA GERAL;24.0;126.0;0.19047619047619047
57663146;CONSOLIDADA;TATIANA DE CAMPOS BICUDO;ECT2104;QUÍMICA GERAL;24.0;126.0;0.19047619047619047
57663146;CONSOLIDADA;FILIPE MARTEL DE MAGALHAES BORGES;ECT2104;QUÍMICA GERAL;24.0;126.0;0.19047619047619047
57663146;CONSOLIDADA;PATRICIA KAORI SOARES;ECT2104;QUÍMICA GERAL;24.0;126.0;0.19047619047619047
57663147;CONSOLIDADA;SALETE MARTINS ALVES;ECT2104;QUÍMICA GERAL;28.0;67.0;0.417910447761194
57663147;CONSOLIDADA;ELISAMA VIEIRA DOS SANTOS;ECT2104;QUÍMICA GERAL;28.0;67.0;0.417910447761194
